dataset_vehicle_code,AlarmId,TelemetryId,TerminalId,UnitId,UnitName,UnitStateNumber,Begin,End,Type,Speed,Address,VideoCount,VideoSizeBytes,CameraIds,RequestedCameraIds,Latitude,Longitude
M482AT156,6f4471aa-fd1b-4329-874b-461f03900242,6520cbae-5fcf-4599-939b-8bc625d0e45a,60b99480-6acf-4aff-a552-b2d6ea0640d5,8259025c-3675-42b9-bc8d-8ae1004da285,М482АТ156,М482АТ156,2026-05-14T23:47:01Z,2026-05-14T23:47:17Z,Smoking,107.0,Уфа,1,590385,"[1, 5]",[5],,
V224BB125,106c40d5-ee6a-4691-a97a-9762c7f34c02,e630d853-b4ee-49c1-8db3-2d49871a22da,9c14a296-32f9-4241-9bb9-3e0dc5535632,35465f3f-e01b-4f1b-a750-39a40af5bdff,В224ВВ125,В224ВВ125,2026-05-14T23:40:44Z,2026-05-14T23:55:09Z,Smoking,44.0,,2,1664877,"[1, 5]","[1, 5]",,
V224BB125,69050c45-57a5-4b8c-be5a-54454372e1e3,1700bfa4-e7e4-4515-ae2b-5b0a71b19d15,9c14a296-32f9-4241-9bb9-3e0dc5535632,35465f3f-e01b-4f1b-a750-39a40af5bdff,В224ВВ125,В224ВВ125,2026-05-14T21:15:44Z,2026-05-14T21:15:49Z,PedestrianWarning,17.0,,2,1910353,"[1, 5]","[1, 5]",,
V224BB125,05977363-5b3f-4bd0-8a62-401d7a84be17,eca065a3-57f2-4cd3-aff9-a2c4efee0b76,9c14a296-32f9-4241-9bb9-3e0dc5535632,35465f3f-e01b-4f1b-a750-39a40af5bdff,В224ВВ125,В224ВВ125,2026-05-14T21:14:34Z,2026-05-14T21:16:06Z,SeatBelt,56.0,,2,1591149,"[1, 5]","[1, 5]",,
T266AK977,395a269d-0a57-4a4a-857c-14a7d759b99b,86e9adcc-025d-4107-a27b-5eae6d019094,2ffc1840-945f-49d5-afff-16ddbd838967,3e8e062e-eff2-4e11-bc5b-03f4e15d167b,Т266АК977,Т266АК977,2026-05-14T22:36:58Z,2026-05-14T22:37:24Z,SpeedLimitViolation,98.0,Десногорск,2,263821,"[1, 5]","[1, 5]",,
T266AK977,56afc372-b79a-45b5-9207-1b8dd08e5b81,bfb09373-cb76-4ea6-a048-7f70d3bc62f8,2ffc1840-945f-49d5-afff-16ddbd838967,3e8e062e-eff2-4e11-bc5b-03f4e15d167b,Т266АК977,Т266АК977,2026-05-14T21:14:27Z,2026-05-14T21:16:09Z,NoDriver,53.0,"Москва,Новорязанское шоссе",2,1053181,"[1, 5]","[1, 5]",,
T266AK977,6f7ba1fa-dbe7-4096-bb1d-1b01bf7b5eb0,9298555f-a964-42a9-a8a1-5edb7e182396,2ffc1840-945f-49d5-afff-16ddbd838967,3e8e062e-eff2-4e11-bc5b-03f4e15d167b,Т266АК977,Т266АК977,2026-05-14T20:48:34Z,2026-05-14T20:48:47Z,CollisionWarning,23.0,"Москва,улица Трофимова,14",2,650701,"[1, 5]","[1, 5]",,
T266AK977,cfc131e6-dc1f-4809-9b97-60b5b972b1ce,58e8fb36-78c6-4193-8e31-b361ddd4ec33,2ffc1840-945f-49d5-afff-16ddbd838967,3e8e062e-eff2-4e11-bc5b-03f4e15d167b,Т266АК977,Т266АК977,2026-05-14T19:31:32Z,2026-05-14T19:31:36Z,SharpAcceleration,25.0,"Москва,Остаповский проезд,4",2,1333073,"[1, 5]","[1, 5]",,
A079AM250,7b8f3a75-9fe0-4b2b-a374-bc74e30f50c3,46fba61c-2d62-4e32-9df4-fc4ab98edeaa,f71b5f61-a62c-4040-b1bf-a73a5bce82c9,879edff3-be37-478e-a665-8c674a8661b4,A079AM250,A079AM250,2026-05-14T23:04:41Z,2026-05-14T23:05:58Z,SeatBelt,25.0,,3,1912219,"[1, 2]","[1, 2, 3]",,
A079AM250,11118a13-d10a-4428-8cdd-f8d7f6ce0698,28906868-3465-482f-8c8c-a21c33a61b10,f71b5f61-a62c-4040-b1bf-a73a5bce82c9,879edff3-be37-478e-a665-8c674a8661b4,A079AM250,A079AM250,2026-05-14T19:55:55Z,2026-05-14T19:56:06Z,Yawning,47.0,"Москва,Бутырская улица,7",3,2132667,"[1, 2]","[1, 2, 3]",,
A079AM250,c9d7216b-0959-495b-ba1e-8ee32d6d4cc7,6403a7ab-d5ac-463a-8955-125cf025e4ff,f71b5f61-a62c-4040-b1bf-a73a5bce82c9,879edff3-be37-478e-a665-8c674a8661b4,A079AM250,A079AM250,2026-05-14T18:50:08Z,2026-05-14T18:51:08Z,DangerousDistance,44.0,"Химки,Старошереметьевское шоссе",3,1876127,"[1, 2, 3]","[1, 2, 3]",,
S737CE198,15ffa66e-56c3-46fe-a527-618ea12c2396,ba1e64c1-e081-4fc3-809c-fd8450c14677,a1499f37-a0f7-4542-906e-7b6490b86c48,007ecbc2-deb0-43cc-ba38-fcbc7496a71d,С737СЕ198,С737СЕ198,2026-05-14T18:54:50Z,2026-05-14T18:55:02Z,SharpBraking,38.0,"Невский округ,Дальневосточный проспект",2,1119750,"[1, 2]","[1, 2, 3, 4, 5]",,
S737CE198,4e86f67f-340f-4db7-9972-b8e5646a9668,d5122b4e-f758-4f6e-9d4f-d94744049a99,a1499f37-a0f7-4542-906e-7b6490b86c48,007ecbc2-deb0-43cc-ba38-fcbc7496a71d,С737СЕ198,С737СЕ198,2026-05-14T18:53:54Z,2026-05-14T18:53:59Z,DangerousDistance,47.0,"Невский округ,Дальневосточный проспект",2,1196774,"[1, 2]","[1, 2, 3, 4, 5]",,
S737CE198,812df409-161d-4c62-a07b-109361709897,714f04d7-87f4-43d1-9b4a-3eeba7b1efd6,a1499f37-a0f7-4542-906e-7b6490b86c48,007ecbc2-deb0-43cc-ba38-fcbc7496a71d,С737СЕ198,С737СЕ198,2026-05-14T18:51:45Z,2026-05-14T18:51:56Z,SharpLeftTurn,31.0,"Невский округ,ВСР",2,1195838,"[1, 2]","[1, 2, 3, 4, 5]",,
S737CE198,439e3dfb-d41c-476f-a05d-5f062783d2f9,eaf1ec28-97ac-491f-9026-d5c494d62d3a,a1499f37-a0f7-4542-906e-7b6490b86c48,007ecbc2-deb0-43cc-ba38-fcbc7496a71d,С737СЕ198,С737СЕ198,2026-05-14T18:42:34Z,2026-05-14T18:42:40Z,CollisionWarning,15.0,"Санкт-Петербург,Полтавская улица,5/29 литА",2,1176998,"[1, 2]","[1, 2, 3, 4, 5]",,
S806UA797,cf91b784-1798-4008-8acd-760eb8d365e7,68909da1-27f3-4884-9f05-45c2db5187fe,a8c64b94-bac8-41d5-bc57-734eee32adc6,412d7022-5aaf-4c87-ace9-d3160743636f,С806УА797,С806УА797,2026-05-14T22:37:51Z,2026-05-14T22:37:59Z,Drowsiness,15.0,Сибирские Увалы,1,1183262,"[1, 2, 5]",[5],,
S806UA797,283481ec-2f86-482d-a2fc-ee0914996e48,30f41faf-9fc5-451b-936e-5b82a2aba142,a8c64b94-bac8-41d5-bc57-734eee32adc6,412d7022-5aaf-4c87-ace9-d3160743636f,С806УА797,С806УА797,2026-05-14T19:00:34Z,2026-05-14T19:02:31Z,NoDriver,19.0,Сибирские Увалы,1,1419078,"[1, 2, 5]",[5],,
M083OU124,ea559499-85da-46f3-8990-f9bd43ee96ac,6e953bbf-f69a-499b-b393-0c32dcefc2f5,ea70437c-4bbd-4d10-b96e-14456a9fafde,bca5ea4c-f033-4a80-8b74-d1789e8c9e58,М083ОУ124,М083ОУ124,2026-05-14T19:18:07Z,2026-05-14T19:18:21Z,Distraction,34.0,"Норильск,Вокзальная улица",2,2133453,"[1, 5]","[1, 5]",,
M083OU124,1c4e15ff-ff19-4531-b8a4-5c71ec49fe5c,d23116a7-77ba-4d51-9bf1-00b575f8f5a4,ea70437c-4bbd-4d10-b96e-14456a9fafde,bca5ea4c-f033-4a80-8b74-d1789e8c9e58,М083ОУ124,М083ОУ124,2026-05-14T19:17:46Z,2026-05-14T19:18:57Z,SeatBelt,35.0,"Норильск,Вокзальная улица",2,2555677,"[1, 5]","[1, 5]",,
M083OU124,ba9fb320-7c41-4927-bd38-5b13becd6132,694fcacb-7ab7-4b5c-bfd6-b56df8c0aa3e,ea70437c-4bbd-4d10-b96e-14456a9fafde,bca5ea4c-f033-4a80-8b74-d1789e8c9e58,М083ОУ124,М083ОУ124,2026-05-14T19:15:47Z,2026-05-14T19:16:57Z,NoDriver,39.0,"Норильск,улица Нансена,26",2,1077085,"[1, 5]","[1, 5]",,
M083OU124,e51a3984-2706-4972-b850-d424435dcd11,8c553758-e7e6-4531-bca8-40bd5c188d02,ea70437c-4bbd-4d10-b96e-14456a9fafde,bca5ea4c-f033-4a80-8b74-d1789e8c9e58,М083ОУ124,М083ОУ124,2026-05-14T19:11:38Z,2026-05-14T19:11:51Z,Smoking,41.0,Норильск,2,2297193,"[1, 5]","[1, 5]",,
S643UR799,c9d92123-62f0-4237-9150-a57624b10b93,9c8e7e2b-7b1f-400a-84bf-20d13abecd9e,2e11acfc-684e-4d2b-93f9-60e1a96c106f,1fe8e814-eb91-4075-a32f-dd598e206834,С643УР799,С643УР799,2026-05-18T23:59:41Z,2026-05-18T23:59:55Z,Smoking,59.0,"Дмитров,2-я Московская улица",1,1364766,[5],[5],,
S643UR799,2da126f5-3f48-43ba-b2cd-9307ea09d400,ed620fc8-6fce-456c-8b1e-f0367e555dd0,2e11acfc-684e-4d2b-93f9-60e1a96c106f,1fe8e814-eb91-4075-a32f-dd598e206834,С643УР799,С643УР799,2026-05-18T23:58:32Z,2026-05-18T23:58:48Z,Smoking,75.0,"Яхрома, Дмитровский городской округ, Московская область",1,1637938,[5],[5],,
K776VS977,faa082b1-d234-4c17-b12f-95e16335b1cf,9151bd18-2d67-4dab-add6-1b686e7d3b1a,d02975b8-474f-4187-941f-1f98202ec46a,39595e1f-9bfe-4e28-8c2e-a5e20eb386ef,К776ВС977,К776ВС977,2026-05-18T23:57:05Z,2026-05-18T23:57:17Z,Smoking,53.0,,1,1363142,[5],[5],,
M078OO154,f7e5afe2-5257-4edf-86cc-2c5648c84e5b,e15b8025-9b13-43d4-a08f-fac018fec460,8c01f7d8-b7d5-4e5b-93a8-25b1eb09c582,76c6242c-3ba9-487f-943b-4a678a3a4ef3,М078ОО154,М078ОО154,2026-05-18T23:56:21Z,2026-05-18T23:56:26Z,Drowsiness,66.0,Среднесибирский,1,1347078,[5],[5],,
