alarm_id,dataset_vehicle_code,unit_id,event_type,period_index,period_type,period_duration,track_point_count
ea559499-85da-46f3-8990-f9bd43ee96ac,M083OU124,bca5ea4c-f033-4a80-8b74-d1789e8c9e58,Distraction,3,3,00:06:15,1
ee809241-e908-4c1a-ac5d-58f6b1da36be,R680MA196,bb719c43-44be-4e41-95cf-6d19d3121df7,DangerousDistance,0,1,00:30:10,126
fa338699-3b21-4a41-a384-4b0fdf7f23d0,R680MA196,bb719c43-44be-4e41-95cf-6d19d3121df7,Sabotage,0,1,00:29:36,86
fa338699-3b21-4a41-a384-4b0fdf7f23d0,R680MA196,bb719c43-44be-4e41-95cf-6d19d3121df7,Sabotage,1,2,00:04:14,2
c9d92123-62f0-4237-9150-a57624b10b93,S643UR799,1fe8e814-eb91-4075-a32f-dd598e206834,Smoking,0,1,00:24:11,96
c9d92123-62f0-4237-9150-a57624b10b93,S643UR799,1fe8e814-eb91-4075-a32f-dd598e206834,Smoking,1,2,00:06:03,2
2da126f5-3f48-43ba-b2cd-9307ea09d400,S643UR799,1fe8e814-eb91-4075-a32f-dd598e206834,Smoking,0,1,00:25:20,104
2da126f5-3f48-43ba-b2cd-9307ea09d400,S643UR799,1fe8e814-eb91-4075-a32f-dd598e206834,Smoking,1,2,00:04:56,2
f7e5afe2-5257-4edf-86cc-2c5648c84e5b,M078OO154,76c6242c-3ba9-487f-943b-4a678a3a4ef3,Drowsiness,0,1,00:30:05,114
5546a06a-ab16-459d-82ba-70425646833d,V224BB125,35465f3f-e01b-4f1b-a750-39a40af5bdff,Smoking,0,1,00:21:48,150
5546a06a-ab16-459d-82ba-70425646833d,V224BB125,35465f3f-e01b-4f1b-a750-39a40af5bdff,Smoking,1,2,00:12:30,2
5546a06a-ab16-459d-82ba-70425646833d,V224BB125,35465f3f-e01b-4f1b-a750-39a40af5bdff,Smoking,2,1,00:08:52,36
bde0d4a2-7c10-423d-84de-60004aa50424,S643UR799,1fe8e814-eb91-4075-a32f-dd598e206834,Smoking,0,1,00:30:14,130
511a8d67-242b-4b5f-9d21-e059645a2413,V844UV186,1e4f2eac-1ab9-4a6b-ae2f-404c34806902,Drowsiness,0,1,00:25:16,134
511a8d67-242b-4b5f-9d21-e059645a2413,V844UV186,1e4f2eac-1ab9-4a6b-ae2f-404c34806902,Drowsiness,1,2,00:04:54,2
725866bd-9c81-45ec-a06f-bdf08df3a79d,K279HM154,2d9e6091-b3d5-49f6-ad23-21e0101909fa,Drowsiness,0,1,00:16:13,49
725866bd-9c81-45ec-a06f-bdf08df3a79d,K279HM154,2d9e6091-b3d5-49f6-ad23-21e0101909fa,Drowsiness,1,2,00:13:52,2
e61bb6ff-ea0b-49ae-a11d-27b58519b9e9,K279HM154,2d9e6091-b3d5-49f6-ad23-21e0101909fa,Drowsiness,0,1,00:17:28,50
e61bb6ff-ea0b-49ae-a11d-27b58519b9e9,K279HM154,2d9e6091-b3d5-49f6-ad23-21e0101909fa,Drowsiness,1,2,00:12:37,2
dc1f8142-055c-4e4f-84e9-56020c16a753,M477YM790,b5f05f9a-b7b9-442c-bccf-a86469c499f1,Drowsiness,0,1,00:22:59,81
dc1f8142-055c-4e4f-84e9-56020c16a753,M477YM790,b5f05f9a-b7b9-442c-bccf-a86469c499f1,Drowsiness,1,2,00:07:10,2
9fe2f146-bc90-4ebf-a7e2-e61ebb951caa,U444UA54,c258e249-b00d-491b-bac2-26b0e273193b,Drowsiness,0,1,00:19:21,113
9fe2f146-bc90-4ebf-a7e2-e61ebb951caa,U444UA54,c258e249-b00d-491b-bac2-26b0e273193b,Drowsiness,1,2,00:10:44,2
d2379587-3189-4903-916e-8352459c03f1,K524VR977,ca66539e-c0ae-4471-9f38-b9152eb5f5e6,Smoking,0,3,00:13:19,1
d2379587-3189-4903-916e-8352459c03f1,K524VR977,ca66539e-c0ae-4471-9f38-b9152eb5f5e6,Smoking,1,1,00:07:17,41
d2379587-3189-4903-916e-8352459c03f1,K524VR977,ca66539e-c0ae-4471-9f38-b9152eb5f5e6,Smoking,2,2,00:09:35,2
f0d04637-7cb1-43f4-a861-9096b78f9a5a,K524VR977,ca66539e-c0ae-4471-9f38-b9152eb5f5e6,Smoking,0,3,00:13:41,1
f0d04637-7cb1-43f4-a861-9096b78f9a5a,K524VR977,ca66539e-c0ae-4471-9f38-b9152eb5f5e6,Smoking,1,1,00:07:17,41
